"pop","phenotype","maf","Variance","statistic","p.value"
"Qualicum","age",1,246.942865220546,1.10691463155631,0.001
"Qualicum","jack",1,245.07073530226,1.09848295475679,0.001
"Qualicum","age",5,147.168125383154,1.1292485241272,0.001
"Qualicum","jack",5,148.318083155036,1.13811583923366,0.001
"Puntledge","age",1,244.04280588844,1.0959804911681,0.003
"Puntledge","jack",1,241.141835673765,1.08289213058256,0.008
"Puntledge","age",5,142.334080955658,1.10224519915126,0.009
"Puntledge","jack",5,139.687993419037,1.08165898856123,0.013
"Chilliwack","age",1,230.65247403536,1.07365941315153,0.018
"Chilliwack","jack",1,232.716702480243,1.0833132090561,0.008
"Chilliwack","age",5,140.325067516341,1.08163242683578,0.014
"Chilliwack","jack",5,140.697958429171,1.08452018242656,0.005
